scenario_id,journey,stage_id,stage_name_en,stage_name_zh,persona_ids,brand,description_zh,description_en
C1-01,Customer,C1,Need / Occasion Triggered,需求 / 场景被触发,HD-S1,Häagen-Dazs,下班后、周末或压力时刻的哈根达斯自我犒赏需求,"After-work, weekend or stress moments trigger a Häagen-Dazs self-treat need."
C1-02,Customer,C1,Need / Occasion Triggered,需求 / 场景被触发,HD-S2 | HD-S3,Häagen-Dazs,生日、节日、纪念日、约会或拜访带来的礼赠 / 仪式需求,"Birthdays, festivals, anniversaries, dates or visits trigger gifting and occasion needs."
C1-03,Customer,C1,Need / Occasion Triggered,需求 / 场景被触发,WF-S1 | WF-S2 | WF-S3,Wanchai Ferry,17:00 下班前后出现的家庭晚餐、快手餐或儿童餐需求,"Around 5 pm, family dinner, quick-meal or child-meal needs emerge."
C1-04,Customer,C1,Need / Occasion Triggered,需求 / 场景被触发,HD-S3 | WF-S4,Both,冬至、春节、元宵、寒潮、节气等造成的季节性需求波峰,Seasonal occasions and cold weather create demand peaks.
C2-01,Customer,C2,Explore & Discover,探索与发现,HD-S1 | HD-S2 | HD-S3 | HD-S4,Häagen-Dazs,探索口味、新品、限定、礼盒和家庭分享组合,"Explore flavors, new launches, limited editions, gift boxes and sharing combinations."
C2-02,Customer,C2,Explore & Discover,探索与发现,WF-S1 | WF-S2 | WF-S3 | WF-S4,Wanchai Ferry,寻找快手晚餐、早餐、夜宵、儿童餐和节令菜单灵感,"Find quick dinner, breakfast, late-night, child-meal and seasonal menu inspiration."
C2-03,Customer,C2,Explore & Discover,探索与发现,HD-S1 | HD-S2 | HD-S3 | HD-S4 | WF-S1 | WF-S2 | WF-S3 | WF-S4 | WF-S5 | M5,Both,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content."
C3-01,Customer,C3,Consider & Compare,考虑与比较,HD-S1 | HD-S2 | HD-S3 | HD-S4,Häagen-Dazs,比较礼盒、口味、规格、价格、场合适配与收礼对象偏好,"Compare gift boxes, flavors, sizes, price, occasion fit and recipient preference."
C3-02,Customer,C3,Consider & Compare,考虑与比较,WF-S1 | WF-S2 | WF-S3 | WF-S4 | WF-S5,Wanchai Ferry,比较一人食、家庭装、儿童餐、节令装的份量、价格和适用方式,"Compare solo, family, child and seasonal packs by portion, price and usage."
C3-03,Customer,C3,Consider & Compare,考虑与比较,M5 | WF-S3 | WF-S5,Both,判断食材、糖、盐、营养、配料、过敏原与健康价值,"Assess ingredients, sugar, salt, nutrition, allergens and health value."
C4-01,Customer,C4,Buy & Receive,购买与收货,HD-S1 | HD-S2 | HD-S3 | HD-S4 | WF-S1 | WF-S2 | WF-S3,Both,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup."
C4-02,Customer,C4,Buy & Receive,购买与收货,HD-S5 | WF-S5 | WF-S6 | M6,Both,在商超、会员店、便利店、电商和餐饮渠道完成 SKU、价格与促销选择,"Choose SKU, price, promotion and inventory across retail and foodservice channels."
C5-01,Customer,C5,Prepare / Enjoy / Experience,准备、享用与体验,HD-S1 | HD-S2 | HD-S4,Häagen-Dazs,家庭甜品、约会、自我犒赏、开盒与第一口的 premium experience,"Experience self-treat, date, home dessert sharing, unboxing and the first bite."
C5-02,Customer,C5,Prepare / Enjoy / Experience,准备、享用与体验,WF-S1 | WF-S2 | WF-S3 | WF-S4,Wanchai Ferry,水饺、馄饨、汤圆等煮、煎、蒸、空气炸锅的烹饪与食用体验,"Prepare and enjoy dumplings, wontons and tangyuan by boiling, frying, steaming or air-frying."
C6-01,Customer,C6,Share / Feedback / Support,分享、反馈与支持,HD-S1 | HD-S2 | HD-S3 | HD-S4 | WF-S1 | WF-S2 | WF-S3 | WF-S4 | WF-S5,Both,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback."
C6-02,Customer,C6,Share / Feedback / Support,分享、反馈与支持,HD-S1 | HD-S2 | HD-S4 | WF-S1 | WF-S2 | WF-S3 | WF-S4,Both,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content."
C7-01,Customer,C7,Repeat & Advocate,复购与推荐,HD-S1 | HD-S2 | HD-S3 | HD-S4,Häagen-Dazs,围绕下一个约会、节日、礼赠、聚会或自我犒赏进行场合型复购,"Repurchase around the next date, festival, gift, gathering or self-treat occasion."
C7-02,Customer,C7,Repeat & Advocate,复购与推荐,WF-S1 | WF-S2 | WF-S3 | WF-S4 | WF-S5,Wanchai Ferry,围绕家庭消耗周期进行常备、补货、囤货、会员复购和推荐,"Replenish, stock up, repurchase and recommend around household consumption cycles."
E1-01,Employee,E1,Business Question Raised,业务问题提出,EP1 | EP3 | EP6 | EP7,General Mills,将增长、渠道、供应或风险问题从会议、邮件和报表中结构化,"Structure growth, channel, supply or risk questions from meetings, emails and reports."
E1-02,Employee,E1,Business Question Raised,业务问题提出,EP2 | EP4,General Mills,将新趋势、新需求和新反馈转化为统一的机会 intake 与 owner,"Turn trends, needs and feedback into a consistent opportunity intake with ownership."
E2-01,Employee,E2,Data & Knowledge Search,数据与知识检索,EP3 | EP5,General Mills,搜索历史 campaign、素材、效果、品牌规范和经验,"Search historical campaigns, assets, results, brand rules and lessons."
E2-02,Employee,E2,Data & Knowledge Search,数据与知识检索,EP6 | EP7,General Mills,汇集零售商、SKU、促销、库存、价格和渠道信息,"Gather retailer, SKU, promotion, inventory, price and channel information."
E2-03,Employee,E2,Data & Knowledge Search,数据与知识检索,EP2 | EP4 | EP11,General Mills,统一查询研究、评论、消费者证据和概念测试结果,"Query research, reviews, consumer evidence and concept-test results in one place."
E3-01,Employee,E3,Insight & Hypothesis Generation,洞察与假设生成,EP2,General Mills,汇总评论、社媒、调研和定量数据形成消费者洞察,"Synthesize reviews, social, research and quantitative data into insight."
E3-02,Employee,E3,Insight & Hypothesis Generation,洞察与假设生成,EP3 | EP5,General Mills,基于市场信号生成 campaign、内容和场景假设,"Generate campaign, content and occasion hypotheses from market signals."
