persona_id,persona_name_en,persona_name_zh,journey,stage_id,scenario_id,scenario_zh,scenario_en,brand,asset_id,asset_web_path
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C1,C1-01,下班后、周末或压力时刻的哈根达斯自我犒赏需求,"After-work, weekend or stress moments trigger a Häagen-Dazs self-treat need.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,C1,C1-02,生日、节日、纪念日、约会或拜访带来的礼赠 / 仪式需求,"Birthdays, festivals, anniversaries, dates or visits trigger gifting and occasion needs.",Häagen-Dazs,H2,images/customer_personas/web_4x5/H2.webp
HD-S3,Gifting / Festival Buyer,礼赠 / 节庆购买者,Customer,C1,C1-02,生日、节日、纪念日、约会或拜访带来的礼赠 / 仪式需求,"Birthdays, festivals, anniversaries, dates or visits trigger gifting and occasion needs.",Häagen-Dazs,M3,images/customer_personas/web_4x5/M3.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,C1,C1-03,17:00 下班前后出现的家庭晚餐、快手餐或儿童餐需求,"Around 5 pm, family dinner, quick-meal or child-meal needs emerge.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,C1,C1-03,17:00 下班前后出现的家庭晚餐、快手餐或儿童餐需求,"Around 5 pm, family dinner, quick-meal or child-meal needs emerge.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C1,C1-03,17:00 下班前后出现的家庭晚餐、快手餐或儿童餐需求,"Around 5 pm, family dinner, quick-meal or child-meal needs emerge.",Wanchai Ferry,W3,images/customer_personas/web_4x5/W3.webp
HD-S3,Gifting / Festival Buyer,礼赠 / 节庆购买者,Customer,C1,C1-04,冬至、春节、元宵、寒潮、节气等造成的季节性需求波峰,Seasonal occasions and cold weather create demand peaks.,Both,M3,images/customer_personas/web_4x5/M3.webp
WF-S4,Seasonal Reunion Buyer,节令团圆购买者,Customer,C1,C1-04,冬至、春节、元宵、寒潮、节气等造成的季节性需求波峰,Seasonal occasions and cold weather create demand peaks.,Both,M3,images/customer_personas/web_4x5/M3.webp
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C2,C2-01,探索口味、新品、限定、礼盒和家庭分享组合,"Explore flavors, new launches, limited editions, gift boxes and sharing combinations.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,C2,C2-01,探索口味、新品、限定、礼盒和家庭分享组合,"Explore flavors, new launches, limited editions, gift boxes and sharing combinations.",Häagen-Dazs,H2,images/customer_personas/web_4x5/H2.webp
HD-S3,Gifting / Festival Buyer,礼赠 / 节庆购买者,Customer,C2,C2-01,探索口味、新品、限定、礼盒和家庭分享组合,"Explore flavors, new launches, limited editions, gift boxes and sharing combinations.",Häagen-Dazs,M3,images/customer_personas/web_4x5/M3.webp
HD-S4,Home Dessert Family User,居家甜品家庭分享者,Customer,C2,C2-01,探索口味、新品、限定、礼盒和家庭分享组合,"Explore flavors, new launches, limited editions, gift boxes and sharing combinations.",Häagen-Dazs,H4,images/customer_personas/web_4x5/H4.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,C2,C2-02,寻找快手晚餐、早餐、夜宵、儿童餐和节令菜单灵感,"Find quick dinner, breakfast, late-night, child-meal and seasonal menu inspiration.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,C2,C2-02,寻找快手晚餐、早餐、夜宵、儿童餐和节令菜单灵感,"Find quick dinner, breakfast, late-night, child-meal and seasonal menu inspiration.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C2,C2-02,寻找快手晚餐、早餐、夜宵、儿童餐和节令菜单灵感,"Find quick dinner, breakfast, late-night, child-meal and seasonal menu inspiration.",Wanchai Ferry,W3,images/customer_personas/web_4x5/W3.webp
WF-S4,Seasonal Reunion Buyer,节令团圆购买者,Customer,C2,C2-02,寻找快手晚餐、早餐、夜宵、儿童餐和节令菜单灵感,"Find quick dinner, breakfast, late-night, child-meal and seasonal menu inspiration.",Wanchai Ferry,M3,images/customer_personas/web_4x5/M3.webp
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M2,images/customer_personas/web_4x5/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,H2,images/customer_personas/web_4x5/H2.webp
HD-S3,Gifting / Festival Buyer,礼赠 / 节庆购买者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M3,images/customer_personas/web_4x5/M3.webp
HD-S4,Home Dessert Family User,居家甜品家庭分享者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,H4,images/customer_personas/web_4x5/H4.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M1,images/customer_personas/web_4x5/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M4,images/customer_personas/web_4x5/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,W3,images/customer_personas/web_4x5/W3.webp
WF-S4,Seasonal Reunion Buyer,节令团圆购买者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M3,images/customer_personas/web_4x5/M3.webp
WF-S5,Quality–Price Balance User,品质与性价比平衡型用户,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,W5,images/customer_personas/web_4x5/W5.webp
M5,Ingredient / Health-conscious Consumer,成分与健康关注者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M5,images/customer_personas/web_4x5/M5.webp
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C3,C3-01,比较礼盒、口味、规格、价格、场合适配与收礼对象偏好,"Compare gift boxes, flavors, sizes, price, occasion fit and recipient preference.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,C3,C3-01,比较礼盒、口味、规格、价格、场合适配与收礼对象偏好,"Compare gift boxes, flavors, sizes, price, occasion fit and recipient preference.",Häagen-Dazs,H2,images/customer_personas/web_4x5/H2.webp
HD-S3,Gifting / Festival Buyer,礼赠 / 节庆购买者,Customer,C3,C3-01,比较礼盒、口味、规格、价格、场合适配与收礼对象偏好,"Compare gift boxes, flavors, sizes, price, occasion fit and recipient preference.",Häagen-Dazs,M3,images/customer_personas/web_4x5/M3.webp
HD-S4,Home Dessert Family User,居家甜品家庭分享者,Customer,C3,C3-01,比较礼盒、口味、规格、价格、场合适配与收礼对象偏好,"Compare gift boxes, flavors, sizes, price, occasion fit and recipient preference.",Häagen-Dazs,H4,images/customer_personas/web_4x5/H4.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,C3,C3-02,比较一人食、家庭装、儿童餐、节令装的份量、价格和适用方式,"Compare solo, family, child and seasonal packs by portion, price and usage.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,C3,C3-02,比较一人食、家庭装、儿童餐、节令装的份量、价格和适用方式,"Compare solo, family, child and seasonal packs by portion, price and usage.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C3,C3-02,比较一人食、家庭装、儿童餐、节令装的份量、价格和适用方式,"Compare solo, family, child and seasonal packs by portion, price and usage.",Wanchai Ferry,W3,images/customer_personas/web_4x5/W3.webp
WF-S4,Seasonal Reunion Buyer,节令团圆购买者,Customer,C3,C3-02,比较一人食、家庭装、儿童餐、节令装的份量、价格和适用方式,"Compare solo, family, child and seasonal packs by portion, price and usage.",Wanchai Ferry,M3,images/customer_personas/web_4x5/M3.webp
WF-S5,Quality–Price Balance User,品质与性价比平衡型用户,Customer,C3,C3-02,比较一人食、家庭装、儿童餐、节令装的份量、价格和适用方式,"Compare solo, family, child and seasonal packs by portion, price and usage.",Wanchai Ferry,W5,images/customer_personas/web_4x5/W5.webp
M5,Ingredient / Health-conscious Consumer,成分与健康关注者,Customer,C3,C3-03,判断食材、糖、盐、营养、配料、过敏原与健康价值,"Assess ingredients, sugar, salt, nutrition, allergens and health value.",Both,M5,images/customer_personas/web_4x5/M5.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C3,C3-03,判断食材、糖、盐、营养、配料、过敏原与健康价值,"Assess ingredients, sugar, salt, nutrition, allergens and health value.",Both,W3,images/customer_personas/web_4x5/W3.webp
WF-S5,Quality–Price Balance User,品质与性价比平衡型用户,Customer,C3,C3-03,判断食材、糖、盐、营养、配料、过敏原与健康价值,"Assess ingredients, sugar, salt, nutrition, allergens and health value.",Both,W5,images/customer_personas/web_4x5/W5.webp
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,M2,images/customer_personas/web_4x5/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,H2,images/customer_personas/web_4x5/H2.webp
HD-S3,Gifting / Festival Buyer,礼赠 / 节庆购买者,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,M3,images/customer_personas/web_4x5/M3.webp
HD-S4,Home Dessert Family User,居家甜品家庭分享者,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,H4,images/customer_personas/web_4x5/H4.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,M1,images/customer_personas/web_4x5/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,M4,images/customer_personas/web_4x5/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,W3,images/customer_personas/web_4x5/W3.webp
HD-S5,Retail / Foodservice Buyer,零售 / 餐饮渠道客户,Customer,C4,C4-02,在商超、会员店、便利店、电商和餐饮渠道完成 SKU、价格与促销选择,"Choose SKU, price, promotion and inventory across retail and foodservice channels.",Both,M6,images/customer_personas/web_4x5/M6.webp
WF-S5,Quality–Price Balance User,品质与性价比平衡型用户,Customer,C4,C4-02,在商超、会员店、便利店、电商和餐饮渠道完成 SKU、价格与促销选择,"Choose SKU, price, promotion and inventory across retail and foodservice channels.",Both,W5,images/customer_personas/web_4x5/W5.webp
WF-S6,Channel Customer,渠道客户,Customer,C4,C4-02,在商超、会员店、便利店、电商和餐饮渠道完成 SKU、价格与促销选择,"Choose SKU, price, promotion and inventory across retail and foodservice channels.",Both,M6,images/customer_personas/web_4x5/M6.webp
M6,Channel / Business Customer,渠道与 B2B 客户,Customer,C4,C4-02,在商超、会员店、便利店、电商和餐饮渠道完成 SKU、价格与促销选择,"Choose SKU, price, promotion and inventory across retail and foodservice channels.",Both,M6,images/customer_personas/web_4x5/M6.webp
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C5,C5-01,家庭甜品、约会、自我犒赏、开盒与第一口的 premium experience,"Experience self-treat, date, home dessert sharing, unboxing and the first bite.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,C5,C5-01,家庭甜品、约会、自我犒赏、开盒与第一口的 premium experience,"Experience self-treat, date, home dessert sharing, unboxing and the first bite.",Häagen-Dazs,H2,images/customer_personas/web_4x5/H2.webp
HD-S4,Home Dessert Family User,居家甜品家庭分享者,Customer,C5,C5-01,家庭甜品、约会、自我犒赏、开盒与第一口的 premium experience,"Experience self-treat, date, home dessert sharing, unboxing and the first bite.",Häagen-Dazs,H4,images/customer_personas/web_4x5/H4.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,C5,C5-02,水饺、馄饨、汤圆等煮、煎、蒸、空气炸锅的烹饪与食用体验,"Prepare and enjoy dumplings, wontons and tangyuan by boiling, frying, steaming or air-frying.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,C5,C5-02,水饺、馄饨、汤圆等煮、煎、蒸、空气炸锅的烹饪与食用体验,"Prepare and enjoy dumplings, wontons and tangyuan by boiling, frying, steaming or air-frying.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C5,C5-02,水饺、馄饨、汤圆等煮、煎、蒸、空气炸锅的烹饪与食用体验,"Prepare and enjoy dumplings, wontons and tangyuan by boiling, frying, steaming or air-frying.",Wanchai Ferry,W3,images/customer_personas/web_4x5/W3.webp
WF-S4,Seasonal Reunion Buyer,节令团圆购买者,Customer,C5,C5-02,水饺、馄饨、汤圆等煮、煎、蒸、空气炸锅的烹饪与食用体验,"Prepare and enjoy dumplings, wontons and tangyuan by boiling, frying, steaming or air-frying.",Wanchai Ferry,M3,images/customer_personas/web_4x5/M3.webp
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,M2,images/customer_personas/web_4x5/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,H2,images/customer_personas/web_4x5/H2.webp
HD-S3,Gifting / Festival Buyer,礼赠 / 节庆购买者,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,M3,images/customer_personas/web_4x5/M3.webp
HD-S4,Home Dessert Family User,居家甜品家庭分享者,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,H4,images/customer_personas/web_4x5/H4.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,M1,images/customer_personas/web_4x5/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,M4,images/customer_personas/web_4x5/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,W3,images/customer_personas/web_4x5/W3.webp
WF-S4,Seasonal Reunion Buyer,节令团圆购买者,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,M3,images/customer_personas/web_4x5/M3.webp
WF-S5,Quality–Price Balance User,品质与性价比平衡型用户,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,W5,images/customer_personas/web_4x5/W5.webp
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,M2,images/customer_personas/web_4x5/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,H2,images/customer_personas/web_4x5/H2.webp
HD-S4,Home Dessert Family User,居家甜品家庭分享者,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,H4,images/customer_personas/web_4x5/H4.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,M1,images/customer_personas/web_4x5/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,M4,images/customer_personas/web_4x5/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,W3,images/customer_personas/web_4x5/W3.webp
WF-S4,Seasonal Reunion Buyer,节令团圆购买者,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,M3,images/customer_personas/web_4x5/M3.webp
HD-S1,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C7,C7-01,围绕下一个约会、节日、礼赠、聚会或自我犒赏进行场合型复购,"Repurchase around the next date, festival, gift, gathering or self-treat occasion.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
HD-S2,Couple / Date Consumer,情侣 / 约会型消费者,Customer,C7,C7-01,围绕下一个约会、节日、礼赠、聚会或自我犒赏进行场合型复购,"Repurchase around the next date, festival, gift, gathering or self-treat occasion.",Häagen-Dazs,H2,images/customer_personas/web_4x5/H2.webp
HD-S3,Gifting / Festival Buyer,礼赠 / 节庆购买者,Customer,C7,C7-01,围绕下一个约会、节日、礼赠、聚会或自我犒赏进行场合型复购,"Repurchase around the next date, festival, gift, gathering or self-treat occasion.",Häagen-Dazs,M3,images/customer_personas/web_4x5/M3.webp
HD-S4,Home Dessert Family User,居家甜品家庭分享者,Customer,C7,C7-01,围绕下一个约会、节日、礼赠、聚会或自我犒赏进行场合型复购,"Repurchase around the next date, festival, gift, gathering or self-treat occasion.",Häagen-Dazs,H4,images/customer_personas/web_4x5/H4.webp
WF-S1,Family Dinner Decision Maker,家庭晚餐决策者,Customer,C7,C7-02,围绕家庭消耗周期进行常备、补货、囤货、会员复购和推荐,"Replenish, stock up, repurchase and recommend around household consumption cycles.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
WF-S2,Young Solo / Small Household,年轻独居 / 小家庭,Customer,C7,C7-02,围绕家庭消耗周期进行常备、补货、囤货、会员复购和推荐,"Replenish, stock up, repurchase and recommend around household consumption cycles.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
WF-S3,Families with Children,有儿童的家庭,Customer,C7,C7-02,围绕家庭消耗周期进行常备、补货、囤货、会员复购和推荐,"Replenish, stock up, repurchase and recommend around household consumption cycles.",Wanchai Ferry,W3,images/customer_personas/web_4x5/W3.webp
WF-S4,Seasonal Reunion Buyer,节令团圆购买者,Customer,C7,C7-02,围绕家庭消耗周期进行常备、补货、囤货、会员复购和推荐,"Replenish, stock up, repurchase and recommend around household consumption cycles.",Wanchai Ferry,M3,images/customer_personas/web_4x5/M3.webp
WF-S5,Quality–Price Balance User,品质与性价比平衡型用户,Customer,C7,C7-02,围绕家庭消耗周期进行常备、补货、囤货、会员复购和推荐,"Replenish, stock up, repurchase and recommend around household consumption cycles.",Wanchai Ferry,W5,images/customer_personas/web_4x5/W5.webp
EP1,General Management / Business Sponsor,管理层 / 业务发起人,Employee,E1,E1-01,将增长、渠道、供应或风险问题从会议、邮件和报表中结构化,"Structure growth, channel, supply or risk questions from meetings, emails and reports.",General Mills,EP1,images/employee_role_placeholders/EP1.png
EP3,Brand / Marketing Manager,品牌 / 市场经理,Employee,E1,E1-01,将增长、渠道、供应或风险问题从会议、邮件和报表中结构化,"Structure growth, channel, supply or risk questions from meetings, emails and reports.",General Mills,EP3,images/employee_role_placeholders/EP3.png
EP6,Sales / KA / Trade / Merchandising Manager,销售 / 大客户 / 渠道 / 店头执行经理,Employee,E1,E1-01,将增长、渠道、供应或风险问题从会议、邮件和报表中结构化,"Structure growth, channel, supply or risk questions from meetings, emails and reports.",General Mills,EP6,images/employee_role_placeholders/EP6.png
EP7,Demand / Supply / Procurement Planner,需求 / 供应 / 采购计划人员,Employee,E1,E1-01,将增长、渠道、供应或风险问题从会议、邮件和报表中结构化,"Structure growth, channel, supply or risk questions from meetings, emails and reports.",General Mills,EP7,images/employee_role_placeholders/EP7.png
EP2,Consumer Insight Manager,消费者洞察经理,Employee,E1,E1-02,将新趋势、新需求和新反馈转化为统一的机会 intake 与 owner,"Turn trends, needs and feedback into a consistent opportunity intake with ownership.",General Mills,EP2,images/employee_role_placeholders/EP2.png
EP4,Product Innovation / R&D Manager,产品创新 / 研发经理,Employee,E1,E1-02,将新趋势、新需求和新反馈转化为统一的机会 intake 与 owner,"Turn trends, needs and feedback into a consistent opportunity intake with ownership.",General Mills,EP4,images/employee_role_placeholders/EP4.png
EP3,Brand / Marketing Manager,品牌 / 市场经理,Employee,E2,E2-01,搜索历史 campaign、素材、效果、品牌规范和经验,"Search historical campaigns, assets, results, brand rules and lessons.",General Mills,EP3,images/employee_role_placeholders/EP3.png
EP5,E-commerce / CRM / Content Manager,电商 / CRM / 内容运营经理,Employee,E2,E2-01,搜索历史 campaign、素材、效果、品牌规范和经验,"Search historical campaigns, assets, results, brand rules and lessons.",General Mills,EP5,images/employee_role_placeholders/EP5.png
